確定情報,お支払日,ご利用店名（海外ご利用店名／海外都市名）,ご利用日,支払回数,何回目,ご利用金額（円）,現地通貨額・通貨名称・換算レート
,,【ご利用明細】,,,,,
確定,2025年1月10日,Amazon.co.jp,2025年1月3日,1,,7541,
確定,2025年1月10日,セブン-イレブン,2025年1月5日,1,,1547,
確定,2025年1月10日,スターバックス,2025年1月7日,1,,492,
確定,2025年1月10日,ヨドバシカメラ,2025年1月9日,1,,40234,
確定,2025年2月10日,Amazon.co.jp,2025年2月3日,1,,2415,
確定,2025年2月10日,セブン-イレブン,2025年2月5日,1,,1852,
確定,2025年2月10日,スターバックス,2025年2月7日,1,,2049,
確定,2025年2月10日,ヨドバシカメラ,2025年2月9日,1,,24052,
確定,2025年3月10日,Amazon.co.jp,2025年3月3日,1,,17837,
確定,2025年3月10日,セブン-イレブン,2025年3月5日,1,,2083,
確定,2025年3月10日,スターバックス,2025年3月7日,1,,1275,
確定,2025年3月10日,ヨドバシカメラ,2025年3月9日,1,,2755,
確定,2025年4月10日,Amazon.co.jp,2025年4月3日,1,,11524,
確定,2025年4月10日,セブン-イレブン,2025年4月5日,1,,1220,
確定,2025年4月10日,スターバックス,2025年4月7日,1,,1478,
確定,2025年4月10日,ヨドバシカメラ,2025年4月9日,1,,21630,
確定,2025年5月10日,Amazon.co.jp,2025年5月3日,1,,4216,
確定,2025年5月10日,セブン-イレブン,2025年5月5日,1,,2284,
確定,2025年5月10日,スターバックス,2025年5月7日,1,,1648,
確定,2025年5月10日,ヨドバシカメラ,2025年5月9日,1,,51777,
確定,2025年6月10日,Amazon.co.jp,2025年6月3日,1,,16521,
確定,2025年6月10日,セブン-イレブン,2025年6月5日,1,,1299,
確定,2025年6月10日,スターバックス,2025年6月7日,1,,2131,
確定,2025年6月10日,ヨドバシカメラ,2025年6月9日,1,,23794,
確定,2025年7月10日,Amazon.co.jp,2025年7月3日,1,,8873,
確定,2025年7月10日,セブン-イレブン,2025年7月5日,1,,3456,
確定,2025年7月10日,スターバックス,2025年7月7日,1,,955,
確定,2025年7月10日,ヨドバシカメラ,2025年7月9日,1,,15076,
確定,2025年8月10日,Amazon.co.jp,2025年8月3日,1,,9853,
確定,2025年8月10日,セブン-イレブン,2025年8月5日,1,,515,
確定,2025年8月10日,スターバックス,2025年8月7日,1,,1143,
確定,2025年8月10日,ヨドバシカメラ,2025年8月9日,1,,4596,
確定,2025年9月10日,Amazon.co.jp,2025年9月3日,1,,16491,
確定,2025年9月10日,セブン-イレブン,2025年9月5日,1,,1870,
確定,2025年9月10日,スターバックス,2025年9月7日,1,,795,
確定,2025年9月10日,ヨドバシカメラ,2025年9月9日,1,,6749,
確定,2025年10月10日,Amazon.co.jp,2025年10月3日,1,,15261,
確定,2025年10月10日,セブン-イレブン,2025年10月5日,1,,3236,
確定,2025年10月10日,スターバックス,2025年10月7日,1,,664,
確定,2025年10月10日,ヨドバシカメラ,2025年10月9日,1,,39481,
確定,2025年11月10日,Amazon.co.jp,2025年11月3日,1,,18154,
確定,2025年11月10日,セブン-イレブン,2025年11月5日,1,,2900,
確定,2025年11月10日,スターバックス,2025年11月7日,1,,1932,
確定,2025年11月10日,ヨドバシカメラ,2025年11月9日,1,,17261,
確定,2025年12月10日,Amazon.co.jp,2025年12月3日,1,,5150,
確定,2025年12月10日,セブン-イレブン,2025年12月5日,1,,2891,
確定,2025年12月10日,スターバックス,2025年12月7日,1,,1267,
確定,2025年12月10日,ヨドバシカメラ,2025年12月9日,1,,41764,
